"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"103","Black Mirror III","Apr 3, 2014","$9.99","N/A (N/A/75%)","100,000 .. 200,000","00:00 (00:00)","Cranberry Production","THQ Nordic"
"119","Gabriel Knight: Sins of the Fathers 20th Anniversary Edition","Oct 15, 2014","$19.99","N/A (N/A/74%)","100,000 .. 200,000","00:00 (00:00)","Phoenix Online Studios, Pinkerton Road Studio","Pinkerton Road Studio"
"128","Warlock 2: The Exiled","Apr 10, 2014","$19.99","N/A (N/A/73%)","100,000 .. 200,000","00:00 (00:00)","Ino-Co Plus","Paradox Interactive"
"129","Disney•Pixar Toy Story 3: The Video Game","Oct 6, 2014","$19.99","N/A (N/A/73%)","100,000 .. 200,000","00:00 (00:00)","Avalanche Software","Disney"
"131","Strike Vector","Jan 28, 2014","N/A","N/A (N/A/73%)","100,000 .. 200,000","00:00 (00:00)","Ragequit Corporation","Ragequit Corporation"
"144","Gray Matter","Apr 1, 2014","$9.99","N/A (N/A/72%)","100,000 .. 200,000","00:00 (00:00)","WizarBox Production","Viva Media Inc"
"149","The Last Tinker: City of Colors","May 12, 2014","$19.99","N/A (N/A/72%)","100,000 .. 200,000","00:00 (00:00)","Mimimi Games","Daedalic Entertainment"
"150","Heavy Bullets","Sep 18, 2014","$9.99","N/A (N/A/72%)","100,000 .. 200,000","00:00 (00:00)","Terri Vellmann, Doseone","Devolver Digital"
"156","Black Mirror II","Apr 2, 2014","$9.99","N/A (N/A/71%)","100,000 .. 200,000","00:00 (00:00)","Cranberry Production","THQ Nordic"
"158","J.U.L.I.A.: Among the Stars","Sep 12, 2014","$19.99","N/A (N/A/71%)","100,000 .. 200,000","00:00 (00:00)","CBE software","CBE software"
"174","The Golf Club","Aug 19, 2014","$29.99","N/A (N/A/70%)","100,000 .. 200,000","00:00 (00:00)","HB Studios","HB Studios"
"176","Dead State: Reanimated","Dec 4, 2014","$19.99","N/A (N/A/70%)","100,000 .. 200,000","00:00 (00:00)","DoubleBear Productions","DoubleBear Productions"
"185","Imperial Glory","Apr 11, 2014","$4.99","N/A (N/A/69%)","100,000 .. 200,000","00:00 (00:00)","Pyro Studios","Kalypso Media Digital"
"186","Toybox Turbos","Nov 11, 2014","$14.99","N/A (N/A/69%)","100,000 .. 200,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"193","Sinking Island","Dec 5, 2014","$7.99","N/A (N/A/68%)","100,000 .. 200,000","00:00 (00:00)","White Birds Productions","Microids"
"198","Shadowgate","Aug 21, 2014","$14.99","N/A (N/A/68%)","100,000 .. 200,000","00:00 (00:00)","Zojoi","Zojoi"
"199","Rollers of the Realm","Nov 18, 2014","$6.99","N/A (N/A/68%)","100,000 .. 200,000","00:00 (00:00)","Phantom Compass","Phantom Compass"
"202","Costume Quest 2","Oct 7, 2014","$14.99","N/A (N/A/68%)","100,000 .. 200,000","00:00 (00:00)","Double Fine Productions","Midnight City , Majesco Entertainment"
"205","Neverending Nightmares","Sep 26, 2014","$14.99","N/A (N/A/68%)","100,000 .. 200,000","00:00 (00:00)","Infinitap Games","Infinitap Games"
"215","Incoming Forces","Mar 6, 2014","$2.99","N/A (N/A/67%)","100,000 .. 200,000","00:00 (00:00)","Rage Software","Funbox Media Ltd"
"223","99 Levels To Hell","Feb 19, 2014","$4.99","N/A (N/A/66%)","100,000 .. 200,000","00:00 (00:00)","Zaxis Games, B-evil","Zaxis Games"
"226","Drunken Robot Pornography","Feb 19, 2014","$14.99","N/A (N/A/66%)","100,000 .. 200,000","00:00 (00:00)","Dejobaan Games, LLC","Dejobaan Games, LLC"
"228","BlazeRush","Oct 28, 2014","$9.99","N/A (N/A/66%)","100,000 .. 200,000","00:00 (00:00)","Targem Games","Targem Games"
"229","NaissanceE","Feb 13, 2014","Free","N/A (N/A/66%)","100,000 .. 200,000","00:00 (00:00)","Limasse Five","Limasse Five"
"234","Unrest","Jul 23, 2014","$9.99","N/A (N/A/65%)","100,000 .. 200,000","00:00 (00:00)","Pyrodactyl","Pyrodactyl"
"253","Obscure","Mar 10, 2014","$6.99","N/A (N/A/63%)","100,000 .. 200,000","00:00 (00:00)","Hydravision Entertainment","Mighty Rocket Studio"
"261","Little Racers STREET","Feb 6, 2014","$5.99","N/A (N/A/62%)","100,000 .. 200,000","00:00 (00:00)","Milkstone Studios","Milkstone Studios"
"268","Oknytt","Apr 4, 2014","$4.99","N/A (N/A/61%)","100,000 .. 200,000","00:00 (00:00)","Nemoria Entertainment","Nemoria Entertainment"
"277","Black Mirror I","Jun 17, 2014","$9.99","N/A (N/A/60%)","100,000 .. 200,000","00:00 (00:00)","Future Games, Unknown Identity","THQ Nordic"
"282","Obscure II (Obscure: The Aftermath)","Mar 10, 2014","$9.99","N/A (N/A/59%)","100,000 .. 200,000","00:00 (00:00)","Hydravision Entertainment","Mighty Rocket Studio"
"287","Horizon","Feb 6, 2014","$29.99","N/A (N/A/58%)","100,000 .. 200,000","00:00 (00:00)","L3O Interactive","L3O Interactive"
"292","Randal's Monday","Nov 12, 2014","$19.99","N/A (N/A/57%)","100,000 .. 200,000","00:00 (00:00)","Nexus Game Studios","Daedalic Entertainment"
"302","Monochroma","May 28, 2014","$19.99","N/A (N/A/55%)","100,000 .. 200,000","00:00 (00:00)","Nowhere Studios","Nowhere Studios"
"306","Windforge","Mar 11, 2014","$9.99","N/A (N/A/53%)","100,000 .. 200,000","00:08 (00:04)","Snowed In Studios","Snowed In Studios"
"309","Marine Sharpshooter II: Jungle Warfare","Apr 3, 2014","$2.99","N/A (N/A/52%)","100,000 .. 200,000","00:00 (00:00)","Jarhead Games","Funbox Media Ltd"
"312","Daylight","Apr 29, 2014","$4.99","N/A (N/A/51%)","100,000 .. 200,000","00:00 (00:00)","Zombie Studios","Zombie Studios"
"318","Meridian: New World","Apr 4, 2014","$0.76","N/A (N/A/43%)","100,000 .. 200,000","00:00 (00:00)","Elder Games","Headup Publishing"
"379","CubeGun","Jun 25, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","candyrocketstudio","candyrocketstudio"
"382","Darkwind: War on Wheels","Aug 22, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Psychic Software","Psychic Software"
"395","WARMACHINE: Tactics","Nov 20, 2014","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","WhiteMoon Dreams","Privateer Press Interactive"
"398","One Manga Day","Jun 20, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","DeXP","DeXP, MyLifeGame.RU"
"399","Fork Parker's Holiday Profit Hike","Dec 18, 2014","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Dodge Roll","Devolver Digital"
"402","Ukrainian Ninja","Dec 23, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Michael Kissinger, Marco Hulden, Shaun Egan, Joshua Marks, Denys Ovsiannykov","Dragon Fire Games Inc"
"403","Warhammer 40,000: Kill Team","May 22, 2014","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Nomad Games","SEGA"
"409","Epigenesis","Aug 1, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Dead Shark Triplepunch","Dead Shark Triplepunch"
"410","Max Gentlemen","Aug 21, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","The Men Who Wear Many Hats","The Men Who Wear Many Hats"
"412","Dungeon Defenders Eternity","Jul 22, 2014","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Nom Nom Games","Trendy Entertainment"
"422","Voices from the Sea","Sep 16, 2014","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Zeiva Inc","Zeiva Inc"
"427","A Date in the Park","Nov 14, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Cloak and Dagger Games","Cloak and Dagger Games"
"432","how do you Do It?","Jan 26, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Nina Freeman, Emmett Butler, Decky Coss, Joni Kittaka","none"
"536","Starwalker","Dec 23, 2014","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","MP Game Studios","MP Game Studios"
"715","Deep Under the Sky","Aug 22, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","RichMakeGame, Colin Northway","Northway Games"
"741","Star Traders: 4X Empires","Dec 16, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Trese Brothers","Trese Brothers"
"767","Inside The Gear","Nov 21, 2014","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Mykhail Konokh","Mykhail Konokh"
"817","Toast Time","Aug 27, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Force Of Habit","Force Of Habit"
"822","Where Angels Cry","Feb 27, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Cateia Games","Cateia Games"
"848","Kick-Ass 2","Aug 15, 2014","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Freedom Factory","United Independent Entertainment"
"860","Sweet Lily Dreams","May 16, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","RosePortal Games","KOMODO"
"870","Lords of the Black Sun","Sep 12, 2014","$24.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Arkavi Studios","Iceberg Interactive"
"906","Dungeons: The Eye of Draconus","Aug 11, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","SuckerFree Games","SuckerFree Games"
"911","Deadly Sin 2","May 12, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Dancing Dragon Games","KOMODO"
"919","Magnifico","Dec 2, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Mixel","Slitherine Ltd."
"926","Game Tycoon 1.5","Feb 11, 2014","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Sunlight Games","Sunlight Games"
"956","Three Dead Zed","Jul 7, 2014","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Gentleman Squid Studio","Gentleman Squid Studio"
"988","Post Master","Mar 7, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Excalibur","Excalibur Publishing"
"993","Robowars","Oct 24, 2014","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","N-Game Studios","N-Game Studios"
"1003","Stonerid","Aug 15, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Enitvare","Enitvare"
"1010","CT Special Forces: Fire for Effect","Mar 13, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Asobo Studio, Hip Games","Funbox Media Ltd"
"1016","Khet 2.0","Oct 1, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","BlueLine Games","BlueLine Games"
"1026","Ethan: Meteor Hunter","Feb 7, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Seaven Studio","Seaven Studio"
"1027","Echo of the Wilds","Jun 10, 2014","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","caiys","caiysware"
"1030","Power-Up","Aug 29, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Psychotic Psoftware","Psychotic Psoftware"
"1035","Humanity Asset","Feb 20, 2014","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Browny Application","KISS ltd"
"1052","Steam Marines","Sep 24, 2014","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Worthless Bums",""
"1060","Broken Sword 4 - the Angel of Death","Nov 4, 2014","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Sumo Digital Ltd","Revolution Software Ltd"
"1064","iO","Dec 5, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Gamious","Gamious"
"1070","Grimind","Feb 13, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Paweł Mogiła","Forever Entertainment S. A."
"1078","Nux","Aug 15, 2014","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Idigicon","KPL"
"1085","Bet On Soldier","Dec 5, 2014","$7.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Kylotonn","Microids"
"1100","Speed Kills","May 16, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Holy Warp, Black Wing Foundation","Holy Warp"
"1101","Litil Divil","Mar 19, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Gremlin Interactive","Funbox Media Ltd"
"1103","UFO: Aftermath","Apr 23, 2014","$0.79","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Altar Interactive","Fulqrum Publishing"
"1116","Cult of the Wind","Jun 30, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","North of Earth","North of Earth"
"1121","Game Character Hub","May 23, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Sebastien Bini","KOMODO"
"1128","Yury","Dec 9, 2014","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Cubic Pie","Cubic Pie"
"1131","See No Evil","Aug 25, 2014","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Gabriel Priske","Noetic"
"1134","Schein","Oct 9, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Zeppelin Studio","Meridian4"
"1135","Swipecart","May 8, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Micro Factory Games","Micro Factory Games"
"1136","Hive","Mar 20, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","BlueLine Games","BlueLine Games"
"1139","OCEAN CITY RACING","Nov 14, 2014","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","OCR Dev Team, Onur Uça",""
"1145","Royal Defense","Nov 6, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Good Games, Creobit","8Floor"
"1171","Doorways: The Underworld","Sep 17, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Saibot Studios","Saibot Studios"
"1172","AR-K","Jul 21, 2014","$7.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","GATO STUDIO","GATO STUDIO"
"1176","Kinetic Void","Nov 21, 2014","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Badland Studio","Badland Studio"
"1181","Secrets of Rætikon","Apr 17, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Broken Rules","Broken Rules"
"1185","Strike Suit Zero: Director's Cut","Apr 8, 2014","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Born Ready Games","Born Ready Games"
"1187","Volt","Apr 14, 2014","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Quantized Bit","Quantized Bit"
"1191","Final Dusk","Dec 12, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Light Echo","Light Echo"
"1192","Wildlife Park 3","May 12, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","b-alive gmbh","b-alive gmbh"
"1208","Orborun","Sep 5, 2014","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Tiny Lab Productions","Digerati"
"1210","OMG Zombies!","Feb 13, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Laughing Jackal LTD","Ghostlight LTD"
"1217","Jagged Alliance 1: Gold Edition","Apr 23, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Sir-Tech, Madlab Software","THQ Nordic"
"1218","Merchants of Kaidan","Nov 10, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Forever Entertainment S. A.","Forever Entertainment S. A."
"1221","Time Mysteries 3: The Final Enigma","Sep 11, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"1225","Caravaneer 2","Dec 7, 2014","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Dmitry Zheltobriukhov","Dmitry Zheltobriukhov"
"1229","Jagged Alliance Flashback","Oct 21, 2014","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Full Control","Full Control, THQ Nordic"
"1232","Iron Fisticle","Sep 16, 2014","$8.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Confused Pelican","Curve Games"
"1234","Scourge: Outbreak","Apr 2, 2014","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Tragnarion Studios","Bitbox S.L."
"1235","The Fifth Day","Jul 25, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Touz","Touz"
"1246","International Snooker","May 30, 2014","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Big Head Games Ltd","Big Head Games Ltd"
"1249","Darkness Within 1: In Pursuit of Loath Nolder","Nov 13, 2014","$7.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Stormling Studios","Iceberg Interactive"
"1250","Saturday Morning RPG","Jan 29, 2014","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Mighty Rabbit Studios","Critical Depth"
"1251","FATE: The Cursed King","Nov 19, 2014","$4.79","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","WildTangent","WildTangent"
"1252","Descent","Feb 11, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Parallax","Interplay Inc."
"1253","Victory At Sea","Aug 8, 2014","$24.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Evil Twin Artworks","Evil Twin Artworks"
"1259","Last Dream","Mar 13, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","White Giant RPG Studios","White Giant RPG Studios"
"1269","World of Subways 3 – London Underground Circle Line","May 12, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","TML-Studios","Aerosoft GmbH"
"1274","White Noise Online","May 22, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Milkstone Studios","Milkstone Studios"
"1275","Platypus","Aug 15, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Anthony Flack","Claymatic Games"
"1276","Sproggiwood","Oct 24, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Freehold Games","Freehold Games"
"1277","War of the Human Tanks","Jan 10, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Yakiniku Banzai","Fruitbat Factory"
"1278","Marauder","Apr 4, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Apeiron","ESDigital Games"
"1282","Coma: Mortuary","May 12, 2014","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Nova Dimension, Naga Entertainment","Naga Entertainment, Nova Dimension"
"1283","Outcast 1.1","Dec 18, 2014","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Fresh3D","THQ Nordic"
"1290","Strife: Veteran Edition","Dec 12, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Rogue Entertainment","Nightdive Studios"
"1291","Farm for your Life","Jun 16, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Hammer Labs","Hammer Labs"
"1292","Dead Man's Draw","Feb 6, 2014","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Stardock Entertainment","Stardock Entertainment"
"1293","KickBeat Steam Edition","Jan 20, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Zen Studios","Zen Studios"
"1294","Faery - Legends of Avalon","Jun 16, 2014","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Spiders","Focus Entertainment"
"1296","Quest of Dungeons","Mar 25, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","David Amador","David Amador"
"1297","Leviathan: The Last Day of the Decade","Nov 18, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Lostwood","Lostwood"
"1300","AppGameKit Classic: Easy Game Development","Nov 21, 2014","$12.49","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","TheGameCreators","TheGameCreators"
"1303","BloodRayne Betrayal","Apr 30, 2014","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Abstraction Games","Ziggurat"
"1305","Ichi","Jun 12, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Stolen Couch Games","Stolen Couch Games"
"1317","Millie","Apr 18, 2014","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Forever Entertainment S. A.","Forever Entertainment S. A."
"1318","Left in the Dark: No One on Board","Oct 2, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Moonrise Interactive","Artifex Mundi"
"1319","Potatoman Seeks the Troof","Dec 3, 2014","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Pixeljam","Pixeljam"
"1322","Super Motherload","Apr 4, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","XGen Studios","XGen Studios"
"1324","Dark Arcana: The Carnival","Oct 28, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"1340","Guns n Zombies","Oct 30, 2014","$7.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Krealit","Krealit"
"1344","Meltdown","Jun 5, 2014","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Phenomenon Games","Phenomenon Games"
"1347","Phoenix Force","Nov 13, 2014","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Awoker Games","Awoker Games"
"1349","Oniken: Unstoppable Edition","Feb 5, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","JoyMasher","JoyMasher"
"1350","About Love, Hate and the other ones","Dec 12, 2014","$7.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Black Pants Studio","Black Pants Studio"
"1351","Chronology","May 12, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Bedtime Digital Games","Bedtime Digital Games"
"1354","Cloudbuilt","Mar 20, 2014","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Coilworks","Coilworks, Rising Star Games"
"1355","Beyond Gravity","Sep 23, 2014","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Qwiboo Ltd","Qwiboo Ltd"
"1358","Frederic: Resurrection of Music","May 16, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Forever Entertainment S. A.","Forever Entertainment S. A."
"1360","Lili: Child of Geos - Complete Edition","May 9, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","BitMonster, Inc.","BitMonster, Inc."
"1362","Real Boxing","Jul 2, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Vivid Games S.A.","Vivid Games S.A."
"1363","Card City Nights","Feb 14, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Ludosity","Ludosity"
"1365","TransOcean: The Shipping Company","Sep 23, 2014","$24.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Deck13 Hamburg","astragon Entertainment"
"1366","Alchemy Mysteries: Prague Legends","Dec 22, 2014","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Jetdogs Studios","Jetdogs Studios"
"1367","Supreme Ruler Ultimate","Oct 17, 2014","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","BattleGoat Studios","BattleGoat Studios"
"1370","Spoiler Alert","Jun 30, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","MEGAFUZZ","tinyBuild"
"1372","Dungeonmans","Dec 9, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Adventurepro Games LLC","Adventurepro Games LLC"
"1374","Memories of a Vagabond","Jul 7, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Darkelite Studio Inc","SA Industry"
"1377","Fantasy Grounds Classic","May 9, 2014","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","SmiteWorks USA, LLC","SmiteWorks USA, LLC"
"1378","Wings of Vi","Nov 28, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Grynsoft","Grynsoft"
"1380","Clockwork Tales: Of Glass and Ink","Apr 24, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"1381","Sinister City","Oct 20, 2014","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Jetdogs Studios","Jetdogs Studios"
"1384","They Breathe","May 23, 2014","$1.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","The Working Parts","The Working Parts"
"1385","Pajama Sam: No Need to Hide When It's Dark Outside","Apr 17, 2014","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Humongous Entertainment","Humongous Entertainment, Nightdive Studios"
"1388","Enforcer: Police Crime Action","Oct 24, 2014","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Odin Game Studio","Excalibur Publishing"
"1389","Disciples III: Reincarnation","Feb 14, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Akella","Kalypso Media Digital"
"1391","KAMI","Jan 23, 2014","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","State of Play","State of Play"
"1398","Shantae: Risky's Revenge - Director's Cut","Jul 15, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","WayForward","WayForward"
"1400","Jets'n'Guns Gold","Feb 5, 2014","$2.39","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Rake in Grass","Rake in Grass"
"1401","Abyss: The Wraiths of Eden","Apr 3, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"1403","9 Clues: The Secret of Serpent Creek","Jul 10, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Tap It Games","Artifex Mundi"
"1405","Geometry Wars 3: Dimensions Evolved","Nov 25, 2014","$7.49","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Lucid Games, Aspyr (Linux)","Sierra, Activision, Aspyr (Linux)"
"1406","Enigmatis: The Ghosts of Maple Creek","Oct 16, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"1407","Bardbarian","Apr 1, 2014","$7.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","TreeFortress Games","TreeFortress Games"
"1408","Agarest: Generations of War","Feb 4, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Idea Factory","Ghostlight LTD"
"1409","Deadly 30","Jan 8, 2014","$0.69","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Ignatus Zuk and Gonzalo Villagomez","Headup Publishing"
"1414","BlazBlue: Continuum Shift Extend","Dec 11, 2014","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Arc System Works","H2 Interactive Co., Ltd."
"1418","Enigmatis 2: The Mists of Ravenwood","Jun 5, 2014","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
